,region,category,parameter,mode,powertrain,year,unit,value
319,Iceland,Historical,EV charging points,EV,Publicly available slow,2018,charging points,40
320,Iceland,Historical,EV charging points,EV,Publicly available fast,2019,charging points,150
321,Iceland,Historical,EV charging points,EV,Publicly available slow,2019,charging points,110
322,Iceland,Historical,EV charging points,EV,Publicly available fast,2020,charging points,190
323,Iceland,Historical,EV charging points,EV,Publicly available slow,2020,charging points,290
324,Iceland,Historical,EV charging points,EV,Publicly available fast,2021,charging points,120
325,Iceland,Historical,EV charging points,EV,Publicly available slow,2021,charging points,560
330,India,Historical,EV charging points,EV,Publicly available fast,2016,charging points,25
331,India,Historical,EV charging points,EV,Publicly available fast,2017,charging points,25
332,India,Historical,EV charging points,EV,Publicly available slow,2017,charging points,220
333,India,Historical,EV charging points,EV,Publicly available fast,2018,charging points,25
334,India,Historical,EV charging points,EV,Publicly available slow,2018,charging points,330
335,India,Historical,EV charging points,EV,Publicly available fast,2019,charging points,25
336,India,Historical,EV charging points,EV,Publicly available slow,2019,charging points,330
337,India,Historical,EV charging points,EV,Publicly available fast,2020,charging points,25
338,India,Historical,EV charging points,EV,Publicly available slow,2020,charging points,330
339,India,Historical,EV charging points,EV,Publicly available fast,2021,charging points,32
340,India,Historical,EV charging points,EV,Publicly available slow,2021,charging points,910
345,Indonesia,Historical,EV charging points,EV,Publicly available fast,2020,charging points,51
346,Indonesia,Historical,EV charging points,EV,Publicly available slow,2020,charging points,50
347,Indonesia,Historical,EV charging points,EV,Publicly available fast,2021,charging points,130
348,Indonesia,Historical,EV charging points,EV,Publicly available slow,2021,charging points,54
353,Israel,Historical,EV charging points,EV,Publicly available fast,2015,charging points,0.1000000015
354,Israel,Historical,EV charging points,EV,Publicly available slow,2015,charging points,0.1000000015
355,Israel,Historical,EV charging points,EV,Publicly available fast,2016,charging points,0.1000000015
356,Israel,Historical,EV charging points,EV,Publicly available slow,2016,charging points,0.1000000015
357,Israel,Historical,EV charging points,EV,Publicly available fast,2017,charging points,0.1000000015
358,Israel,Historical,EV charging points,EV,Publicly available slow,2017,charging points,0.1000000015
359,Israel,Historical,EV charging points,EV,Publicly available fast,2018,charging points,0.1000000015
360,Israel,Historical,EV charging points,EV,Publicly available slow,2018,charging points,0.1000000015
361,Israel,Historical,EV charging points,EV,Publicly available fast,2019,charging points,0.1000000015
362,Israel,Historical,EV charging points,EV,Publicly available slow,2019,charging points,0.1000000015
363,Israel,Historical,EV charging points,EV,Publicly available fast,2020,charging points,0.1000000015
364,Israel,Historical,EV charging points,EV,Publicly available fast,2021,charging points,0.1000000015
369,Italy,Historical,EV charging points,EV,Publicly available fast,2012,charging points,1
370,Italy,Historical,EV charging points,EV,Publicly available slow,2012,charging points,1400
371,Italy,Historical,EV charging points,EV,Publicly available fast,2013,charging points,6
372,Italy,Historical,EV charging points,EV,Publicly available slow,2013,charging points,1400
373,Italy,Historical,EV charging points,EV,Publicly available fast,2014,charging points,10
374,Italy,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1400
375,Italy,Historical,EV charging points,EV,Publicly available fast,2015,charging points,70
376,Italy,Historical,EV charging points,EV,Publicly available slow,2015,charging points,1700
377,Italy,Historical,EV charging points,EV,Publicly available fast,2016,charging points,170
378,Italy,Historical,EV charging points,EV,Publicly available slow,2016,charging points,2300
379,Italy,Historical,EV charging points,EV,Publicly available fast,2017,charging points,390
380,Italy,Historical,EV charging points,EV,Publicly available slow,2017,charging points,2400
381,Italy,Historical,EV charging points,EV,Publicly available fast,2018,charging points,570
382,Italy,Historical,EV charging points,EV,Publicly available slow,2018,charging points,2900
383,Italy,Historical,EV charging points,EV,Publicly available fast,2019,charging points,860
384,Italy,Historical,EV charging points,EV,Publicly available slow,2019,charging points,8300
385,Italy,Historical,EV charging points,EV,Publicly available fast,2020,charging points,1200
386,Italy,Historical,EV charging points,EV,Publicly available slow,2020,charging points,12000
387,Italy,Historical,EV charging points,EV,Publicly available fast,2021,charging points,2200
388,Italy,Historical,EV charging points,EV,Publicly available slow,2021,charging points,20000
393,Japan,Historical,EV charging points,EV,Publicly available fast,2010,charging points,310
394,Japan,Historical,EV charging points,EV,Publicly available fast,2011,charging points,800
395,Japan,Historical,EV charging points,EV,Publicly available fast,2012,charging points,1400
396,Japan,Historical,EV charging points,EV,Publicly available fast,2013,charging points,1800
397,Japan,Historical,EV charging points,EV,Publicly available fast,2014,charging points,2900
398,Japan,Historical,EV charging points,EV,Publicly available slow,2014,charging points,8600
399,Japan,Historical,EV charging points,EV,Publicly available fast,2015,charging points,6000
400,Japan,Historical,EV charging points,EV,Publicly available slow,2015,charging points,16000
401,Japan,Historical,EV charging points,EV,Publicly available fast,2016,charging points,7100
402,Japan,Historical,EV charging points,EV,Publicly available slow,2016,charging points,17000
403,Japan,Historical,EV charging points,EV,Publicly available fast,2017,charging points,7300
404,Japan,Historical,EV charging points,EV,Publicly available slow,2017,charging points,22000
405,Japan,Historical,EV charging points,EV,Publicly available fast,2018,charging points,7700
406,Japan,Historical,EV charging points,EV,Publicly available slow,2018,charging points,22000
407,Japan,Historical,EV charging points,EV,Publicly available fast,2019,charging points,7900
408,Japan,Historical,EV charging points,EV,Publicly available slow,2019,charging points,23000
409,Japan,Historical,EV charging points,EV,Publicly available fast,2020,charging points,7900
410,Japan,Historical,EV charging points,EV,Publicly available slow,2020,charging points,22000
411,Japan,Historical,EV charging points,EV,Publicly available fast,2021,charging points,8000
412,Japan,Historical,EV charging points,EV,Publicly available slow,2021,charging points,21000
417,Korea,Historical,EV charging points,EV,Publicly available fast,2016,charging points,920
418,Korea,Historical,EV charging points,EV,Publicly available slow,2016,charging points,1100
419,Korea,Historical,EV charging points,EV,Publicly available fast,2017,charging points,3300
420,Korea,Historical,EV charging points,EV,Publicly available slow,2017,charging points,10000
421,Korea,Historical,EV charging points,EV,Publicly available fast,2018,charging points,5200
422,Korea,Historical,EV charging points,EV,Publicly available slow,2018,charging points,22000
423,Korea,Historical,EV charging points,EV,Publicly available fast,2019,charging points,7400
424,Korea,Historical,EV charging points,EV,Publicly available slow,2019,charging points,37000
425,Korea,Historical,EV charging points,EV,Publicly available fast,2020,charging points,9800
426,Korea,Historical,EV charging points,EV,Publicly available slow,2020,charging points,37000
427,Korea,Historical,EV charging points,EV,Publicly available fast,2021,charging points,15000
428,Korea,Historical,EV charging points,EV,Publicly available slow,2021,charging points,92000
433,Mexico,Historical,EV charging points,EV,Publicly available slow,2015,charging points,83
434,Mexico,Historical,EV charging points,EV,Publicly available fast,2016,charging points,6
